animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type,predicted,probability,correct?
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1,0.999999999986554,CORRECT
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,1,0.9999999999995091,CORRECT
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,1,0.9999999999999196,CORRECT
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,2,0.9999999999999826,CORRECT
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,4,0.9999999744517203,CORRECT
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,2,0.9999999999981535,CORRECT
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2,2,0.999999999999836,CORRECT
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1,0.999999999986554,CORRECT
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5,5,0.9999995934964009,CORRECT
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1,0.999999999986554,CORRECT
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,4,0.9999999828692139,CORRECT
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2,2,0.9999999908326271,CORRECT
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6,6,0.9999316107406719,CORRECT
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,0.9999999999466153,CORRECT
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,7,0.9999999999773763,CORRECT
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,1,0.9999999994703834,CORRECT
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,0.9999999999466153,CORRECT
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,2,0.9999999999999826,CORRECT
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2,2,0.9999999972905216,CORRECT
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,2,0.999999999999728,CORRECT
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1,1,0.999513814929012,CORRECT
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,0.9999999999466153,CORRECT
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,0.9999999999466153,CORRECT
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2,2,0.9999999938560952,CORRECT
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7,3,0.5322676036175282,WRONG
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7,7,0.9999999644467853,CORRECT
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2,2,0.9999999999987627,CORRECT
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1,1,0.9999999999997884,CORRECT
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6,6,0.9999999999995391,CORRECT
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,0.9999999999466153,CORRECT
